بِنْت,girl/daughter (informal),Unit_01 Unit_03
يَمَنيّ,Yemeni,Unit_09
أمْريكا,America,Unit_09
أمْريكيّ,American,Unit_09
الصِّين,China,Unit_09
صينيّ,Chinese,Unit_09
روسْيا,Russia,Unit_09
روسيّ,Russian,Unit_09
اليابان,Japan,Unit_09
يابانّي,Japanese,Unit_09
اِنجلْتَرا,England,Unit_09
اِنْجِليزيّ,English,Unit_09
فَرَنْسا,France,Unit_09
فَرَنْسيّ,French,Unit_09
أَلْمانيا,Germany,Unit_09
أَلْمانّي,German,Unit_09
أَسْبانيا,Spain,Unit_09
أَسْبانّي,Spanish,Unit_09
إيطالْيا,Italy,Unit_09
إيطاليّ,Italian,Unit_09
عاصِمة,capital (city),Unit_09
دَوْلَة,"country, nation/state",Unit_09 Unit_14
جِنْسيّة,nationality,Unit_09
مِهْنة,profession,Unit_09
طَبيب,doctor,Unit_09
أَنْتُمْ,you (plural),Unit_09
شَمال,north,Unit_09
جَنوب,south,Unit_09
غَرْب,west,Unit_09
شَرْق,east,Unit_09
مِنْ,from,Unit_09
صِفْر,zero,Unit_10 Unit_14
واحِد,one,Unit_10
اِثْنان,two,Unit_10
ثَلاثَة,three,Unit_10
أرْبَعَة,four,Unit_10
خَمْسَة,five,Unit_10
سِتَّة,six,Unit_10
سَبْعَة,seven,Unit_10
ثَمانِيَة,eight,Unit_10
تِسْعَة,nine,Unit_10
عَشَرَة,ten,Unit_10
كَمْ؟,how many?,Unit_10
تِليفون,telephone,Unit_10
رَقْم تِليفون,telephone number,Unit_10
عُنْوان,address,Unit_10
بِكَم؟,how much?,Unit_10
جُنَيْه,Pound,Unit_10
رِيال,Riyal,Unit_10
دينار,Dinar,Unit_10
ليرة,Lira,Unit_10
دِرْهَم,Dirham,Unit_10
كيلو,kilo,Unit_10
طَماطِم,tomatoes,Unit_10
بَطاطِس,potatoes,Unit_10
مَنْجَة,mangoes,Unit_10
تُفَّاح,apples,Unit_10
بُرْتُقَال,oranges,Unit_10
مَوْز,bananas,Unit_10
سوق,market,Unit_10 Unit_11
صَنْدَل,sandals,Unit_10
طَبْلة,drum,Unit_10
قِلادة,necklace,Unit_10
سَلّة,basket,Unit_10
تي-شيرت,T-shirt,Unit_10
طَبَق,plate,Unit_10 Unit_11
ذَهَب,gold,Unit_10
فِضّة,silver,Unit_10
نُحاس,copper,Unit_10
خَشَب,wood,Unit_10
قُطْن,cotton,Unit_10
جِلْد,leather,Unit_10
زُجاج,glass,Unit_10
حَرير,silk,Unit_10
كُمْبيوتر,computer,Unit_10
كِبْريت,matches,Unit_10
بالونات,balloons,Unit_10
صَاحِب,friend/owner,Unit_11
أصْحِاب,friends/owners,Unit_11
أسْواق,markets,Unit_11
سِعْر,price,Unit_11
أَسْعار,prices,Unit_11
فيلم,film,Unit_11
أَفْلام,films,Unit_11
وَقْت,time,Unit_11
أَوْقات,times,Unit_11
عام,year,Unit_11
أَعْوام,years,Unit_11
عَلَم,flag,Unit_11
أَعْلام,flags,Unit_11
شَكل,"shape, likeness",Unit_11
أَشْكال,"shapes, likenesses",Unit_11
سَيْف,sword,Unit_11
سُيوف,swords,Unit_11
قَلْب,heart,Unit_11
قُلوب,hearts,Unit_11
مَلِك,king,Unit_11
مُلوك,kings,Unit_11
شَيْخ,sheikh,Unit_11
شُيوخ,sheikhs,Unit_11
شَمعة,candle,Unit_11
شُموع,candles,Unit_11
حَفْلة,party,Unit_11
حَفْلات,parties,Unit_11
كوب,"glass, tumbler",Unit_11
أَكْواب,"glasses, tumblers",Unit_11
أَطْباق,plates,Unit_11
كيس,"bag (plastic, etc.), sack",Unit_11
أَكْياس,"bags, (plastic, etc.), sacks",Unit_11
قُبَّعَة,hat,Unit_11
قُبَّعَات,hats,Unit_11
سِرْوال,trousers (singular),Unit_11
سَراويل,trousers (plural),Unit_11
حِذاء,shoe,Unit_11
أَحْذِية,shoes,Unit_11
كُولا,cola,Unit_11 Unit_13
بَلاَسْتيك,plastic,Unit_11
وَرَق,paper,Unit_11
مَوْقِع,[web]site,Unit_11
رائِع,great,Unit_11
أَفْضَل,better/best,Unit_11 Unit_17
أَيّ,which?/any,Unit_11
كُلّ,all/every,Unit_11 Unit_16
حَتَّى,until,Unit_11 Unit_18
هَؤلاءِ,these (for people only),Unit_11
حاضِر,certainly,Unit_11
أُفَضِّل,I prefer,Unit_11
لَوْن,colour,Unit_11
أَلْوان,colours,Unit_11
بَيْضَاء,white (f),Unit_11
سَوْدَاء,black (f),Unit_11
أَخْضَر,green (m),Unit_11
خَضْرَاء,green (f),Unit_11
أَحْمَر,red (m),Unit_11
حَمْرَاء,red (f),Unit_11
أَزْرَق,blue (m),Unit_11
زَرْقَاء,blue (f),Unit_11
أَصْفَر,yellow (m),Unit_11
صَفْراَء,yellow (f),Unit_11
بَقَّال,grocer,Unit_12
طَعام,food,Unit_12
جُبْنَة,cheese,Unit_12
حَليب,milk,Unit_12
بَيْض,eggs,Unit_12
زَيْت,oil,Unit_12
خُبْز,bread,Unit_12
عَصِير,juice,Unit_12
أَرُزّ,rice,Unit_12
سُكَّر,sugar,Unit_12
مَكَرونَة,macaroni,Unit_12
بَسْكَويت,biscuits,Unit_12
كَعْك,cake,Unit_12
مُسْحوق الغَسيل,washing powder,Unit_12
مَعْجون ألاَسْنان,toothpaste,Unit_12
صابون,soap,Unit_12
شامْبو,shampoo,Unit_12
أُنْبُوبَة,tube,Unit_12
قِطْعَة,piece,Unit_12
لَحْم,meat,Unit_12
سَمَك,fish,Unit_12
حَمام,pigeons/pigeon meat,Unit_12
بَصَل,onions,Unit_12
خَضرَوات,vegetables,Unit_12
فَواكِه,fruit,Unit_12
بَطاطِس مُحَمَرَّة,chips/fries,Unit_12
كَباب,kebab,Unit_12
سَلَطَة,salad,Unit_12
سَلَطَات,salads,Unit_12
حَلَوِيّات,desserts,Unit_12
آيس كِريم,ice cream,Unit_12
شَاي,tea,Unit_12
قَهْوَة,coffee,Unit_12
لَوْز,almonds,Unit_12
وَرْد,roses,Unit_12
بارِد,cold,Unit_12
شَهيّ,delicious,Unit_12
مَقْليّ,fried,Unit_12
مَشْويّ,grilled,Unit_12
في الفُرْن,in the oven/roasted,Unit_12
أَنا [لا] أُحِبّ,I [don't] like,Unit_12
مُفَضَّل,favourite,Unit_12
جَرسون,waiter,Unit_12
تَحت أمْرَك/أمْرِك,at your service (to a man/woman),Unit_12
يا مَدام,Madam,Unit_12
يا سَيِّدي,Sir,Unit_12
أَعْطِني,give me,Unit_12
آخُذ,I'll have/I'll take,Unit_12
هَلْ تُجَرِّب؟,will you try?,Unit_12
اللّه يسَلِّمك,'May God keep you safe' - reply to goodbye (to a man/woman),Unit_12
حِساب,bill/account,Unit_12
حِسابات,bills/accounts,Unit_12
خِدْمَة,service,Unit_12
خِدْمَات,services,Unit_12
مَجْموع,total,Unit_12
مَجموعات,totals,Unit_12
مَطاعِم,restaurants,Unit_12
مَكاتِب,offices/desks,Unit_12
مَتْحَف,museum,Unit_12
مَتاحِف,museums,Unit_12
مَجْلِس,sitting area/council,Unit_12
مَجالِس,sitting areas/councils,Unit_12
مَلْعَب,playground/court/stadium,Unit_12
مَلاعِب,playgrounds/courts/stadiums,Unit_12
مَعْرَض,exhibition,Unit_12
مَعارِض,exhibitions,Unit_12
مَخْبَز,bakery,Unit_12
مَخابِز,bakeries,Unit_12
مَطْبَخ,kitchen,Unit_12
مَطابِخ,kitchens,Unit_12
مَدْخَل,entrance,Unit_12
مَداخِل,entrances,Unit_12
مَخْرَج,exit,Unit_12
مَخارِج,exits,Unit_12
مَسْجِد,mosque,Unit_12
مَساجِد,mosques,Unit_12
مَغْسَلَة,laundry (singular),Unit_12
مَغاسِل,laundry (plural),Unit_12
لِصّ,thief/robber,Unit_13
لُصوص,thieves/robbers,Unit_13
سَرِقَة,theft/robbery,Unit_13
سَرِقات,thefts/robberies,Unit_13
تَحْقيق,investigation,Unit_13
تَحْقيقات,investigations,Unit_13
خِطاب,letter,Unit_13
خِطابات,letters,Unit_13
قَصْر,palace,Unit_13
قُصور,palaces,Unit_13
فِنْجان,cup,Unit_13
فَناجين,cups,Unit_13
مَاء,water,Unit_13
عَنْ,about/concerning,Unit_13
إلى,towards,Unit_13
مَلَكِيّ,royal,Unit_13
أَمْس,yesterday,Unit_13
صَبَاح,morning,Unit_13
مَسَاء,afternoon/evening,Unit_13
مَتى؟,when?,Unit_13 Unit_16
مَاذا؟,what? (+ verb),Unit_13
خَرَج,went out/excited,Unit_13
ذَهَب,went,Unit_13
كَتَب,wrote,Unit_13
شَرِب,drank,Unit_13
أَكَل,ate,Unit_13
رَجَع,returned/went back,Unit_13
فَتَح,opened,Unit_13
جَلَس,sat down,Unit_13
سَمِع,heard,Unit_13
فَعَل,did/made,Unit_13
وَجَد,found,Unit_13
أَوّلاً,firstly,Unit_13
أَخيراً,finally,Unit_13
بَعْدَ ذلِكَ,after that,Unit_13
قَبْلَ ذلِكَ,before that,Unit_13
ثُمَّ,then,Unit_13
فَـ...‏,and/and so,Unit_13
عُلبَة,box/tin/packet,Unit_14
عُلَب,boxes/tins/packets,Unit_14
لُعبَة,toy/game,Unit_14
لُعَب,toys/games,Unit_14
تُحْفَة,masterpiece/artefact,Unit_14
تُحَف,masterpieces/artefacts,Unit_14
دُوَل,nations/states,Unit_14
رَجُل,man,Unit_14
رِجَال,men,Unit_14
جَبَل,mountain,Unit_14
جِبَال,mountains,Unit_14
جَمَل,camel,Unit_14
جِمَال,camels,Unit_14
بَحْر,sea,Unit_14
بِحَار,seas,Unit_14
ريح,wind,Unit_14
رِياح,winds,Unit_14
حَال,state/condition,Unit_14
أحوال,states/conditions,Unit_14
الطَّقْس,the weather,Unit_14
دَرَجة الحَرارة,temperature ('degree of heat'),Unit_14
حَارّ,hot,Unit_14
مُعْتَدِل,mild/moderate,Unit_14
شَمْس,sun,Unit_14
مُشْمِس,sunny,Unit_14
غَيْم,cloud,Unit_14
عُيوم,clouds,Unit_14
غائِم,cloudy/overcast,Unit_14
مَطَر,rain,Unit_14
أَمْطار,rain (plural),Unit_14
مُمْطِر,rainy,Unit_14
شَديد,strong/heavy (e.g. rain),Unit_14
فَتْرة,period,Unit_14
فَتَرات,periods,Unit_14
سَماء صافِية,clear sky,Unit_14
رِحْلة,trip/journey,Unit_14
رِحْلات,trips/journeys,Unit_14
مُمْتِع,enjoyable,Unit_14
لَذيذ,tasty/delicious,Unit_14
يَوْم,day,Unit_14
أَيّام,days,Unit_14
آخِر يَوْم,the last day,Unit_14
دَيْر,monastery,Unit_14
أَدْيِرة,monasteries,Unit_14
صَديق,friend,Unit_14
أَصْدِقاء,friends,Unit_14
فُنْدُق,hotel,Unit_14
فَنادِق,hotels,Unit_14
مَسْبَح,swimming pool,Unit_14
مَسابِح,swimming pools,Unit_14
شُروق الشَّمْس,sunrise,Unit_14
ألاُسْبوع الماضي,last week,Unit_14
نَزَل,stayed,Unit_14
دَرَس,studied,Unit_14
شاهَد,watched/witnessed,Unit_14
عَزيزي/عَزيزَتي,Dear ... (starting a letter),Unit_14
مَع تَحِيَّاتي,Best wishes (finishing a letter),Unit_14
كَيْفَ,how,Unit_14
كَيْف حَالَك/حَالِك؟,How are you?,Unit_14
أحَد عَشَر,eleven,Unit_14
اِثنا عَشَر,twelve,Unit_14
ثلاثة عَشَر,thirteen,Unit_14
أربعة عَشَر,fourteen,Unit_14
خَمْسة عَشَر,fifteen,Unit_14
سِتَّة عَشَر,sixteen,Unit_14
سَبْعة عَشَر,seventeen,Unit_14
ثَمانية عَشَر,eighteen,Unit_14
تِسعَة عَشَر,nineteen,Unit_14
عِشْرين,twenty,Unit_14
ثلاثين,thirty,Unit_14
أربعين,forty,Unit_14
خَمسين,fifty,Unit_14
ستِّين,sixty,Unit_14
سَبْعين,seventy,Unit_14
ثَمانين,eighty,Unit_14
تِسعين,ninety,Unit_14
مائة,a hundred,Unit_14
سَاعَة‏,hour/watch/clock/o'clock,Unit_16
سَاعَات‏,hours/watches/clocks/o'clock (plural),Unit_16
كَم الساعة؟,what's the time?,Unit_16
دَقيقة‏,minute,Unit_16
دَقائِق,minutes,Unit_16
نِصْف,half,Unit_16
ثُلْث,third,Unit_16
رُبْع,quarter,Unit_16
كُلّ يَوم,every day,Unit_16
عادةً,usually,Unit_16
إفْطار,breakfast,Unit_16
غَداء,lunch,Unit_16
عَشاء,dinner/supper,Unit_16
أُوتوبيس,bus,Unit_16
أُوتوبيسات,buses,Unit_16
قِطار‏,train,Unit_16
قِطارات,trains,Unit_16
فَعَل/يَفْعَل,to do/to make,Unit_16
ذَهَب/يَذْهَب,to go,Unit_16
دَرَس/يَدْرُس,to study,Unit_16
غَسَل/يَغْسِل,to wash,Unit_16
كَتَب/يَكْتُب,to write,Unit_16
خَرَج/يَخْرُج,to go out/to leave,Unit_16
رَجَع/يَرْجِع,to return,Unit_16
